Year,Month,Data_value
2016,9,4748.3
2016,1,5112.8
2016,11,5191.7
2016,12,6463.1
2017,1,5211.4
2017,2,4841.1
2017,3,5324.1
2017,4,5115.5
2017,5,5108.3
2017,6,4938.5
2017,7,5044.6
2017,8,4991.6
2017,9,5015.1
2017,1,5353.3
2017,11,5611.9
2017,12,6857.1
2018,1,5447
2018,2,5056.6
2018,3,5698.9
2018,4,5211.6
2018,5,5336.9
2018,6,5202.2
2018,7,5255.9
2018,8,5319.6
2018,9,5314.4
2018,1,5680.7
2018,11,5874.1
2018,12,6936
2019,1,5653.2
2019,2,5238.7
2019,3,5754.5
2019,4,5470
2019,5,5520.1
2019,6,5280.3
2019,7,5359.3
2019,8,5485
2019,9,5345.5
2019,1,5769.6
2019,11,6171.2
2019,12,7209.2
2020,1,5891.4
2020,2,5691.1
2020,3,5651.5
2020,4,2870.6
2020,5,5188.2
2020,6,5701.2
2020,7,5969
2020,8,5439
2020,9,5734.4
2020,1,6250.7
2020,11,6256
2020,12,7459.5
2021,1,6005.7
2021,2,5391.4
2021,3,5937.3
2021,4,5989.7
2021,5,6129.8
2021,6,5930.9
2021,7,6252.2
2000,1,
2000,2,
2000,3,
2000,4,
2000,5,
2000,6,
2000,7,
2000,8,
2000,9,
2000,1,
2000,11,
2000,12,
2001,1,
2001,2,
2001,3,
2001,4,
2001,5,
2001,6,
2001,7,
2001,8,
2001,9,
2001,1,
2001,11,
2001,12,
2002,1,
2002,2,
2002,3,
2002,4,
2002,5,
2002,6,
2002,7,
2002,8,
2002,9,
2002,1,1928.3
2002,11,1983.8
2002,12,2545
2003,1,1952.2
2003,2,1802.3
2003,3,1976.6
2003,4,1931.8
2003,5,1966.7
2003,6,1814.8
2003,7,1949.6
2003,8,1944.8
2003,9,1898.8
2003,1,2074.9
2003,11,2135.4
2003,12,2756.4
2004,1,2096.9
2004,2,1963.7
2004,3,2108.1
2004,4,2103
2004,5,2080.5
2004,6,1970.4
2004,7,2130.6
2004,8,2038.8
2004,9,2057.1
2004,1,2207
2004,11,2285.3
2004,12,2936.6
2005,1,2257
2005,2,2098.6
2005,3,2304.9
2005,4,2275.5
2005,5,2214.1
2005,6,2160
2005,7,2283.2
2005,8,2203.5
2005,9,2243.3
2005,1,2401.7
2005,11,2462.6
2005,12,3153.2
2006,1,2386.7
